"length_min","length_max","gravy_min","gravy_max","n_valid_total","n_invalid_total","detection_rate_valid","detection_rate_invalid","enrichment"
8,20,-1.5,0.4,17622,43584,0.601448967631838,0.200964837536608,0.40048413009523
9,25,-1.5,0.3,18403,42803,0.5967604796585,0.197201169099401,0.399559310559099
7,25,-1.5,0.3,21992,39214,0.572018790298687,0.172796071328212,0.399222718970475
6,40,-1.5,0.8,32710,28496,0.500930080938349,0.101750957498602,0.399179123439747
8,30,-1.2,0.4,20999,40207,0.578874190088535,0.179776840764,0.399097349324535
9,20,-1.5,0.5,16334,44872,0.60858898306199,0.209888353853876,0.398700629208114
9,20,-1.2,1,16188,45018,0.609284052376178,0.210633886819421,0.398650165556758
7,20,-1.5,0.6,20668,40538,0.579292247062028,0.180738068140814,0.398554178921214
8,40,-1.5,0.3,24789,36417,0.555057887214449,0.156554265146416,0.398503622068033
8,35,-1.2,0.6,24191,37015,0.556240584646633,0.157781699325218,0.398458885321415
7,40,-1.5,0.3,26641,34565,0.541851298561896,0.143441611094813,0.398409687467083
7,20,-1.2,1,19763,41443,0.585027001368242,0.186620390373619,0.398406610994623
10,25,-1.5,1,19626,41580,0.587582563965915,0.189488064948032,0.398094499017883
9,40,-1.5,0.6,25618,35588,0.549243471207961,0.151203438961274,0.398040032246687
10,30,-1.5,1,22233,38973,0.570931499031453,0.172919690766155,0.398011808265298
10,30,-1.5,0.8,21706,39500,0.574516870465616,0.177257316943527,0.397259553522089
10,25,-1.5,0.8,19162,42044,0.590277705559846,0.193264768137071,0.397012937422775
8,25,-1.2,0.4,18829,42377,0.591332074457095,0.194637205395055,0.39669486906204
7,35,-1.2,0.5,25128,36078,0.54909352832715,0.152614898407845,0.396478629919305
8,25,-1,1,19613,41593,0.584056648402357,0.187712197784707,0.39634445061765
9,20,-1.5,0.4,15827,45379,0.609937138635248,0.213996682821956,0.395940455813292
7,25,-1.2,0.5,21191,40015,0.574668423388478,0.17876737535096,0.395901048037518
9,30,-1.2,0.6,20885,40321,0.577378156705153,0.181507469755374,0.395870686949779
9,25,-1.2,0.6,18531,42675,0.592545816308582,0.196675756956381,0.395870059352202
7,30,-1,1,23672,37534,0.55596252835229,0.160238195453243,0.395724332899047
8,40,-1.2,0.8,26369,34837,0.53877100064063,0.143147371496228,0.395623629144402
8,35,-1.2,0.5,23448,37758,0.560418984473459,0.164872694588237,0.395546289885221
9,25,-1.2,0.5,17963,43243,0.59684646586383,0.20142191421862,0.39542455164521
9,40,-1.5,0.5,24874,36332,0.553229842174405,0.157847823688975,0.39538201848543
9,20,-1.2,0.8,15773,45433,0.609563886160734,0.214230952952617,0.395332933208117
8,20,-1.2,0.6,16725,44481,0.602996425554304,0.207792208736971,0.395204216817332
7,30,-1.2,0.4,22615,38591,0.564815774305162,0.169631633278004,0.395184141027158
9,30,-1.2,0.5,20242,40964,0.582126659762827,0.187028565520453,0.395098094242374
9,35,-1.5,0.3,22084,39122,0.570800029936543,0.175887479035628,0.394912550900915
8,20,-1.5,0.3,16985,44221,0.601258569536267,0.206747090104457,0.39451147943181
8,30,-1,1,22030,39176,0.566545496914402,0.17204762527927,0.394497871635132
7,25,-1,1,21255,39951,0.57144811748019,0.177455268612605,0.393992848867585
9,35,-1.2,1,24197,37009,0.552246172625935,0.159161744082313,0.393084428543622
10,30,-1.5,0.6,20882,40324,0.577377814786978,0.184297193364782,0.393080621422195
7,40,-1.2,0.6,27001,34205,0.533816773544373,0.140780269500733,0.393036504043639
7,20,-1.2,0.8,19234,41972,0.584926678623689,0.19189314896058,0.393033529663108
10,20,-1.5,1,15824,45382,0.608280392217287,0.215272228204455,0.393008164012832
7,20,-1.5,0.5,20148,41058,0.578951321478882,0.186193351723667,0.392757969755215
8,25,-1,0.8,19045,42161,0.585866625169051,0.193192152846823,0.392674472322228
10,25,-1.5,0.6,18457,42749,0.591789701801912,0.199412496098742,0.39237720570317
10,30,-1.5,0.5,20290,40916,0.580886375120793,0.188834370516398,0.392052004604395
8,30,-1.2,0.3,20103,41103,0.580110924290676,0.188088922539664,0.392022001751012
8,20,-1.2,0.5,16250,44956,0.604015270348174,0.21210794961461,0.391907320733564
9,40,-1.5,0.4,24026,37180,0.556611017791203,0.164845354327098,0.391765663464105
9,30,-1.2,0.4,19494,41712,0.584702120449411,0.19295878515325,0.391743335296162
9,25,-1.2,0.4,17324,43882,0.598111696891568,0.206564767328451,0.391546929563116
10,25,-1.5,0.5,17940,43266,0.594764006983203,0.20330273531501,0.391461271668193
8,20,-1,1,16201,45005,0.603182010873191,0.21186179973889,0.3913202111343
10,20,-1.5,0.8,15456,45750,0.609042696129083,0.218070933507279,0.390971762621805
6,25,-1.5,1,27875,33331,0.528813993104778,0.137849173268106,0.390964819836672
8,35,-1.2,0.4,22598,38608,0.56315679544541,0.172192328244577,0.390964467200833
8,30,-1,0.8,21399,39807,0.569223736100307,0.178315932947541,0.390907803152766
7,30,-1,0.8,22984,38222,0.558420666874504,0.167535430855389,0.390885236019115
9,20,-1.5,0.3,15248,45958,0.609779422064024,0.218924268908969,0.390855153155055
8,25,-1.2,0.3,18040,43166,0.592321852705657,0.201560656612912,0.390761196092745
10,30,-1.5,0.4,19598,41608,0.584252829998762,0.193717729192573,0.39053510080619
9,20,-1.2,0.6,15132,46074,0.609850128151951,0.21946444572884,0.390385682423111
6,35,-1.5,0.6,30361,30845,0.51279552842279,0.122545901547119,0.390249626875671
7,35,-1.2,0.4,24214,36992,0.551110370178568,0.161220544242116,0.389889825936452
9,20,-1.2,0.5,14702,46504,0.612713621017137,0.223009650922436,0.389703970094701
7,25,-1.2,0.4,20445,40761,0.57517103825675,0.18565832905429,0.38951270920246
10,25,-1.5,0.4,17357,43849,0.596888816680285,0.207542632283913,0.389346184396372
7,25,-1,0.8,20630,40576,0.573098397387537,0.183762534414987,0.38933586297255
9,35,-1.2,0.8,23564,37642,0.554254887260595,0.165369824306335,0.388885062954261
8,20,-1.2,0.4,15700,45506,0.605275343908007,0.216567322147593,0.388708021760415
6,30,-1.5,0.6,28614,32592,0.523426658123646,0.134777581237812,0.388649076885834
7,40,-1.2,0.5,26167,35039,0.537829021293302,0.149433623439718,0.388395397853584
8,40,-1.2,0.6,25276,35930,0.543273121210305,0.154900916420713,0.388372204789592
7,35,-1,1,25456,35750,0.53885003907665,0.150944119021939,0.387905920054711
7,20,-1.5,0.4,19534,41672,0.579556390829169,0.191826951167755,0.387729439661414
9,20,-1.2,0.4,14195,47011,0.614481750029315,0.226846259458458,0.387635490570857
10,20,-1.5,0.6,14880,46326,0.609663969176732,0.222573347836494,0.387090621340239
7,30,-1.2,0.3,21659,39547,0.566059935749604,0.179034742048499,0.387025193701105
8,20,-1,0.8,15729,45477,0.603101920784919,0.21614399261164,0.386957928173279
10,35,-1.5,1,24116,37090,0.551194563070388,0.164240286465547,0.386954276604841
